date,daily_0_17,total_0_17,daily_18_24,total_18_24,daily_25_34,total_25_34,daily_35_44,total_35_44,daily_45_54,total_45_54,daily_55_64,total_55_64,daily_65_74,total_65_74,daily_75_115,total_75_115,daily_undefined,total_undefined,daily_18_49,total_18_49,daily_50_70,total_50_70,daily_71_79,total_71_79,daily_80_115,total_80_115
2021-02-27,0,0,0,3,0,2,0,5,0,21,0,90,0,116,2,367,0,0,0,18,0,172,0,134,2,280
2021-02-28,0,0,0,3,0,2,0,5,0,21,1,91,1,117,3,370,0,0,0,18,1,173,1,135,3,283
2021-03-01,0,0,0,3,0,2,0,5,1,22,0,91,1,118,1,371,0,0,0,18,2,175,1,136,0,283
2021-03-02,0,0,0,3,0,2,0,5,0,22,0,91,2,120,5,376,0,0,0,18,2,177,3,139,2,285
2021-03-03,0,0,0,3,0,2,0,5,0,22,1,92,1,121,4,380,0,0,0,18,1,178,1,140,4,289
2021-03-04,0,0,0,3,0,2,0,5,0,22,0,92,2,123,5,385,0,0,0,18,1,179,2,142,4,293
2021-03-05,0,0,0,3,0,2,0,5,0,22,1,93,0,123,5,390,0,0,0,18,1,180,0,142,5,298
2021-03-06,0,0,0,3,0,2,1,6,0,22,2,95,0,123,5,395,0,0,1,19,2,182,1,143,4,302
2021-03-07,0,0,0,3,0,2,0,6,1,23,0,95,2,125,3,398,0,0,0,19,1,183,2,145,3,305
2021-03-08,0,0,0,3,0,2,0,6,0,23,0,95,2,127,5,403,0,0,0,19,2,185,1,146,4,309
2021-03-09,0,0,0,3,0,2,0,6,1,24,1,96,2,129,4,407,0,0,0,19,3,188,3,149,2,311
2021-03-10,0,0,0,3,0,2,0,6,0,24,1,97,3,132,8,415,0,0,0,19,2,190,4,153,6,317
2021-03-11,0,0,0,3,0,2,0,6,0,24,1,98,3,135,1,416,0,0,0,19,4,194,0,153,1,318
2021-03-12,0,0,0,3,0,2,0,6,0,24,1,99,1,136,4,420,0,0,0,19,2,196,1,154,3,321
2021-03-13,0,0,0,3,0,2,0,6,1,25,0,99,3,139,5,425,0,0,1,20,0,196,5,159,3,324
2021-03-14,0,0,0,3,0,2,1,7,1,26,1,100,4,143,7,432,0,0,2,22,3,199,4,163,5,329
2021-03-15,0,0,0,3,0,2,0,7,0,26,0,100,1,144,4,436,0,0,0,22,1,200,0,163,4,333
2021-03-16,0,0,0,3,0,2,0,7,0,26,1,101,2,146,5,441,0,0,0,22,1,201,3,166,4,337
2021-03-17,0,0,0,3,0,2,1,8,0,26,2,103,4,150,8,449,0,0,1,23,5,206,2,168,7,344
2021-03-18,0,0,0,3,1,3,0,8,0,26,0,103,2,152,6,455,0,0,1,24,1,207,1,169,6,350
2021-03-19,0,0,0,3,1,4,0,8,2,28,1,104,2,154,5,460,0,0,2,26,4,211,2,171,3,353
2021-03-20,0,0,0,3,1,5,1,9,1,29,2,106,4,158,7,467,0,0,3,29,3,214,5,176,5,358
2021-03-21,0,0,0,3,0,5,0,9,2,31,2,108,7,165,5,472,0,0,2,31,6,220,5,181,3,361
2021-03-22,0,0,0,3,1,6,0,9,2,33,4,112,5,170,7,479,0,0,2,33,8,228,3,184,6,367
2021-03-23,0,0,0,3,0,6,0,9,0,33,0,112,0,170,0,479,0,0,0,33,0,228,0,184,0,367
2021-03-24,0,0,0,3,0,6,1,10,2,35,4,116,8,178,17,496,0,0,1,34,10,238,6,190,15,382
2021-03-25,0,0,0,3,0,6,0,10,1,36,4,120,0,178,7,503,0,0,0,34,5,243,2,192,5,387
2021-03-26,0,0,0,3,0,6,0,10,1,37,2,122,4,182,12,515,0,0,0,34,6,249,4,196,9,396
2021-03-27,0,0,0,3,0,6,1,11,0,37,2,124,6,188,17,532,0,0,1,35,5,254,4,200,16,412
2021-03-28,0,0,0,3,0,6,0,11,0,37,1,125,3,191,10,542,0,0,0,35,2,256,4,204,8,420
2021-03-29,0,0,0,3,0,6,0,11,0,37,0,125,3,194,10,552,0,0,0,35,2,258,2,206,9,429
2021-03-30,0,0,1,4,1,7,1,12,3,40,4,129,1,195,14,566,0,0,4,39,6,264,6,212,9,438
2021-03-31,0,0,0,4,0,7,0,12,2,42,2,131,3,198,14,580,0,0,1,40,5,269,6,218,9,447
2021-04-01,0,0,1,5,0,7,1,13,2,44,6,137,5,203,20,600,0,0,3,43,11,280,4,222,17,464
2021-04-02,0,0,0,5,0,7,2,15,0,44,6,143,9,212,15,615,0,0,2,45,14,294,5,227,11,475
2021-04-03,0,0,0,5,0,7,1,16,0,44,3,146,9,221,17,632,0,0,1,46,8,302,8,235,13,488
2021-04-04,0,0,0,5,2,9,1,17,2,46,4,150,4,225,17,649,0,0,5,51,7,309,3,238,15,503
2021-04-05,0,0,0,5,0,9,1,18,2,48,6,156,9,234,27,676,0,0,1,52,15,324,7,245,22,525
2021-04-06,0,0,0,5,0,9,1,19,0,48,4,160,11,245,29,705,0,0,1,53,9,333,10,255,25,550
2021-04-07,0,0,0,5,0,9,0,19,3,51,4,164,11,256,22,727,0,0,1,54,15,348,6,261,18,568
2021-04-08,0,0,0,5,0,9,0,19,1,52,5,169,8,264,30,757,0,0,0,54,12,360,10,271,22,590
2021-04-09,0,0,0,5,0,9,0,19,6,58,9,178,12,276,25,782,0,0,1,55,20,380,14,285,17,607
2021-04-10,0,0,0,5,1,10,1,20,3,61,7,185,12,288,28,810,0,0,3,58,16,396,9,294,24,631
2021-04-11,0,0,0,5,0,10,0,20,3,64,6,191,15,303,24,834,0,0,1,59,17,413,14,308,16,647
2021-04-12,0,0,0,5,0,10,0,20,2,66,8,199,17,320,44,878,0,0,1,60,20,433,13,321,37,684
2021-04-13,0,0,0,5,0,10,3,23,4,70,6,205,28,348,22,900,0,0,5,65,27,460,15,336,16,700
2021-04-14,0,0,0,5,1,11,1,24,5,75,8,213,13,361,24,924,0,0,6,71,18,478,9,345,19,719
2021-04-15,0,0,0,5,0,11,1,25,7,82,11,224,27,388,33,957,0,0,3,74,35,513,17,362,24,743
2021-04-16,0,0,0,5,1,12,1,26,2,84,12,236,18,406,28,985,0,0,2,76,24,537,13,375,23,766
2021-04-17,0,0,0,5,0,12,2,28,1,85,11,247,11,417,35,1020,0,0,3,79,18,555,15,390,24,790
2021-04-18,1,1,0,5,0,12,1,29,5,90,4,251,19,436,29,1049,1,1,2,81,16,571,21,411,19,809
2021-04-19,0,1,0,5,0,12,0,29,6,96,4,255,23,459,30,1079,0,1,1,82,22,593,18,429,22,831
2021-04-20,0,1,0,5,1,13,0,29,3,99,7,262,15,474,25,1104,0,1,3,85,19,612,9,438,20,851
2021-04-21,0,1,0,5,0,13,0,29,6,105,15,277,14,488,26,1130,0,1,1,86,30,642,12,450,18,869
2021-04-22,0,1,0,5,1,14,0,29,9,114,13,290,19,507,35,1165,0,1,4,90,30,672,16,466,27,896
2021-04-23,1,2,1,6,0,14,1,30,3,117,8,298,23,530,30,1195,1,2,3,93,26,698,16,482,21,917
2021-04-24,0,2,0,6,0,14,3,33,1,118,7,305,15,545,30,1225,0,2,3,96,17,715,14,496,22,939
2021-04-25,0,2,0,6,1,15,1,34,2,120,6,311,14,559,19,1244,0,2,2,98,18,733,9,505,14,953
2021-04-26,0,2,0,6,1,16,3,37,3,123,9,320,18,577,31,1275,0,2,5,103,28,761,17,522,15,968
2021-04-27,0,2,0,6,1,17,0,37,2,125,13,333,11,588,35,1310,0,2,2,105,19,780,20,542,21,989
2021-04-28,0,2,0,6,1,18,2,39,2,127,4,337,9,597,28,1338,0,2,5,110,10,790,14,556,17,1006
2021-04-29,0,2,0,6,0,18,0,39,3,130,9,346,12,609,42,1380,0,2,0,110,18,808,15,571,33,1039
2021-04-30,0,2,0,6,2,20,0,39,6,136,8,354,14,623,23,1403,0,2,4,114,22,830,11,582,16,1055
2021-05-01,0,2,0,6,0,20,2,41,3,139,8,362,11,634,29,1432,0,2,3,117,14,844,18,600,18,1073
2021-05-02,0,2,0,6,0,20,2,43,3,142,13,375,19,653,19,1451,0,2,3,120,24,868,20,620,9,1082
2021-05-03,0,2,0,6,2,22,4,47,4,146,14,389,16,669,32,1483,0,2,6,126,26,894,21,641,19,1101
2021-05-04,1,3,0,6,0,22,2,49,7,153,10,399,15,684,30,1513,1,3,5,131,19,913,21,662,19,1120
2021-05-05,0,3,0,6,0,22,1,50,7,160,8,407,17,701,24,1537,0,3,2,133,22,935,17,679,16,1136
2021-05-06,0,3,0,6,1,23,2,52,9,169,10,417,17,718,15,1552,0,3,7,140,24,959,14,693,9,1145
2021-05-07,0,3,1,7,0,23,3,55,4,173,13,430,11,729,28,1580,0,3,5,145,22,981,15,708,18,1163
2021-05-08,0,3,0,7,1,24,1,56,6,179,6,436,15,744,22,1602,0,3,5,150,16,997,18,726,12,1175
2021-05-09,0,3,0,7,1,25,0,56,4,183,7,443,12,756,16,1618,0,3,2,152,14,1011,9,735,15,1190
2021-05-10,0,3,0,7,0,25,0,56,3,186,5,448,18,774,23,1641,0,3,2,154,14,1025,14,749,19,1209
2021-05-11,0,3,0,7,0,25,1,57,0,186,4,452,9,783,23,1664,0,3,1,155,9,1034,9,758,18,1227
2021-05-12,0,3,0,7,0,25,1,58,1,187,7,459,10,793,25,1689,0,3,2,157,12,1046,15,773,15,1242
2021-05-13,0,3,0,7,1,26,1,59,2,189,8,467,23,816,31,1720,0,3,2,159,23,1069,18,791,23,1265
2021-05-14,0,3,0,7,2,28,2,61,3,192,9,476,11,827,24,1744,0,3,5,164,16,1085,14,805,16,1281
2021-05-15,0,3,0,7,1,29,1,62,0,192,10,486,18,845,20,1764,0,3,2,166,21,1106,15,820,12,1293
2021-05-16,0,3,1,8,0,29,3,65,6,198,3,489,10,855,17,1781,0,3,7,173,11,1117,12,832,10,1303
2021-05-17,0,3,0,8,1,30,1,66,6,204,15,504,13,868,26,1807,0,3,5,178,22,1139,17,849,18,1321
2021-05-18,0,3,0,8,1,31,0,66,5,209,8,512,20,888,23,1830,0,3,3,181,21,1160,19,868,14,1335
2021-05-19,0,3,0,8,1,32,5,71,5,214,7,519,15,903,27,1857,0,3,9,190,15,1175,19,887,17,1352
2021-05-20,0,3,0,8,1,33,3,74,4,218,3,522,14,917,28,1885,0,3,5,195,15,1190,14,901,19,1371
2021-05-21,0,3,1,9,0,33,3,77,6,224,11,533,21,938,27,1912,0,3,7,202,27,1217,16,917,19,1390
2021-05-22,0,3,1,10,0,33,3,80,7,231,4,537,14,952,22,1934,0,3,7,209,15,1232,17,934,12,1402
2021-05-23,0,3,0,10,0,33,5,85,5,236,7,544,13,965,31,1965,0,3,7,216,16,1248,17,951,21,1423
2021-05-24,0,3,1,11,1,34,3,88,0,236,5,549,13,978,28,1993,0,3,5,221,10,1258,16,967,20,1443
2021-05-25,0,3,1,12,0,34,1,89,4,240,6,555,13,991,26,2019,0,3,5,226,16,1274,9,976,21,1464
2021-05-26,0,3,2,14,1,35,1,90,1,241,7,562,14,1005,23,2042,0,3,4,230,15,1289,15,991,15,1479
2021-05-27,0,3,0,14,0,35,1,91,0,241,6,568,15,1020,22,2064,0,3,1,231,12,1301,15,1006,16,1495
2021-05-28,0,3,0,14,2,37,2,93,4,245,12,580,18,1038,23,2087,0,3,7,238,22,1323,17,1023,15,1510
2021-05-29,0,3,0,14,0,37,2,95,5,250,8,588,13,1051,21,2108,0,3,2,240,21,1344,15,1038,11,1521
2021-05-30,0,3,0,14,0,37,5,100,1,251,4,592,12,1063,15,2123,0,3,5,245,12,1356,11,1049,9,1530
2021-05-31,0,3,0,14,0,37,4,104,4,255,10,602,17,1080,28,2151,0,3,6,251,20,1376,19,1068,18,1548
2021-06-01,0,3,1,15,1,38,1,105,7,262,9,611,21,1101,28,2179,0,3,5,256,24,1400,25,1093,14,1562
2021-06-02,0,3,0,15,0,38,3,108,4,266,7,618,16,1117,22,2201,0,3,5,261,19,1419,11,1104,17,1579
2021-06-03,0,3,0,15,0,38,4,112,4,270,9,627,16,1133,35,2236,0,3,6,267,19,1438,19,1123,24,1603
2021-06-04,0,3,0,15,0,38,4,116,4,274,10,637,12,1145,26,2262,0,3,7,274,16,1454,13,1136,20,1623
2021-06-05,0,3,0,15,3,41,1,117,9,283,11,648,16,1161,27,2289,0,3,7,281,27,1481,13,1149,20,1643
2021-06-06,0,3,0,15,0,41,4,121,5,288,8,656,14,1175,26,2315,0,3,7,288,16,1497,12,1161,22,1665
2021-06-07,0,3,0,15,1,42,1,122,3,291,8,664,12,1187,27,2342,0,3,2,290,19,1516,14,1175,17,1682
2021-06-08,0,3,1,16,1,43,3,125,3,294,9,673,19,1206,21,2363,0,3,7,297,18,1534,16,1191,16,1698
2021-06-09,0,3,0,16,1,44,4,129,6,300,10,683,21,1227,26,2389,0,3,6,303,29,1563,14,1205,19,1717
2021-06-10,0,3,0,16,2,46,0,129,6,306,6,689,14,1241,19,2408,0,3,4,307,16,1579,13,1218,14,1731
2021-06-11,0,3,0,16,1,47,3,132,4,310,5,694,14,1255,18,2426,0,3,5,312,15,1594,13,1231,12,1743
2021-06-12,0,3,0,16,2,49,3,135,7,317,7,701,15,1270,16,2442,0,3,8,320,21,1615,10,1241,11,1754
2021-06-13,0,3,0,16,1,50,2,137,5,322,7,708,6,1276,18,2460,0,3,6,326,15,1630,8,1249,10,1764
2021-06-14,1,4,0,16,0,50,0,137,8,330,6,714,15,1291,17,2477,1,4,3,329,18,1648,11,1260,14,1778
2021-06-15,1,5,0,16,2,52,4,141,5,335,10,724,10,1301,21,2498,1,5,9,338,15,1663,18,1278,10,1788
2021-06-16,0,5,0,16,0,52,2,143,2,337,3,727,12,1313,12,2510,0,5,4,342,7,1670,13,1291,7,1795
2021-06-17,0,5,0,16,0,52,3,146,4,341,6,733,9,1322,10,2520,0,5,7,349,13,1683,4,1295,8,1803
2021-06-18,0,5,0,16,0,52,2,148,10,351,6,739,18,1340,19,2539,0,5,7,356,18,1701,19,1314,11,1814
2021-06-19,0,5,0,16,2,54,3,151,1,352,4,743,7,1347,17,2556,0,5,5,361,7,1708,11,1325,11,1825
2021-06-20,0,5,0,16,0,54,1,152,3,355,5,748,12,1359,9,2565,0,5,3,364,13,1721,5,1330,9,1834
2021-06-21,0,5,0,16,0,54,5,157,2,357,6,754,8,1367,24,2589,0,5,7,371,11,1732,9,1339,18,1852
2021-06-22,0,5,1,17,1,55,1,158,1,358,3,757,8,1375,19,2608,0,5,4,375,8,1740,7,1346,15,1867
2021-06-23,0,5,1,18,0,55,0,158,3,361,4,761,3,1378,14,2622,0,5,3,378,7,1747,3,1349,12,1879
2021-06-24,0,5,0,18,1,56,3,161,1,362,7,768,10,1388,17,2639,0,5,4,382,12,1759,11,1360,12,1891
2021-06-25,0,5,1,19,0,56,1,162,6,368,4,772,7,1395,15,2654,0,5,4,386,13,1772,7,1367,10,1901
2021-06-26,0,5,0,19,0,56,1,163,2,370,3,775,5,1400,16,2670,0,5,3,389,6,1778,7,1374,11,1912
2021-06-27,0,5,0,19,0,56,1,164,4,374,2,777,7,1407,5,2675,0,5,4,393,6,1784,5,1379,4,1916
2021-06-28,0,5,0,19,1,57,1,165,3,377,6,783,10,1417,9,2684,0,5,4,397,15,1799,4,1383,7,1923
2021-06-29,0,5,0,19,0,57,1,166,3,380,8,791,5,1422,17,2701,0,5,2,399,14,1813,8,1391,10,1933
2021-06-30,0,5,1,20,0,57,0,166,3,383,3,794,4,1426,25,2726,0,5,3,402,8,1821,5,1396,20,1953
2021-07-01,0,5,1,21,2,59,1,167,2,385,4,798,6,1432,11,2737,0,5,6,408,6,1827,6,1402,9,1962
2021-07-02,0,5,0,21,1,60,1,168,2,387,2,800,9,1441,8,2745,0,5,4,412,6,1833,7,1409,6,1968
2021-07-03,0,5,0,21,1,61,0,168,3,390,2,802,8,1449,7,2752,0,5,3,415,9,1842,4,1413,5,1973
2021-07-04,0,5,0,21,0,61,1,169,1,391,6,808,5,1454,13,2765,0,5,1,416,8,1850,10,1423,7,1980
2021-07-05,0,5,0,21,2,63,2,171,1,392,2,810,5,1459,10,2775,0,5,4,420,6,1856,5,1428,7,1987
2021-07-06,0,5,0,21,0,63,1,172,1,393,4,814,7,1466,12,2787,0,5,2,422,7,1863,7,1435,9,1996
2021-07-07,0,5,0,21,1,64,0,172,4,397,5,819,5,1471,9,2796,0,5,4,426,8,1871,6,1441,6,2002
2021-07-08,0,5,0,21,1,65,0,172,0,397,4,823,3,1474,6,2802,0,5,1,427,5,1876,4,1445,4,2006
2021-07-09,0,5,0,21,0,65,0,172,0,397,5,828,5,1479,8,2810,0,5,0,427,7,1883,4,1449,7,2013
2021-07-10,0,5,0,21,0,65,2,174,1,398,5,833,3,1482,6,2816,0,5,2,429,9,1892,2,1451,4,2017
2021-07-11,0,5,0,21,0,65,0,174,3,401,1,834,1,1483,3,2819,0,5,2,431,3,1895,1,1452,2,2019
2021-07-12,0,5,0,21,1,66,0,174,0,401,3,837,6,1489,8,2827,0,5,1,432,9,1904,4,1456,4,2023
2021-07-13,0,5,0,21,0,66,1,175,0,401,4,841,3,1492,8,2835,0,5,1,433,7,1911,2,1458,6,2029
2021-07-14,0,5,0,21,0,66,0,175,0,401,0,841,1,1493,4,2839,0,5,0,433,0,1911,2,1460,3,2032
2021-07-15,0,5,1,22,0,66,0,175,2,403,0,841,3,1496,5,2844,0,5,2,435,2,1913,3,1463,4,2036
2021-07-16,0,5,0,22,0,66,2,177,1,404,1,842,1,1497,1,2845,0,5,2,437,3,1916,0,1463,1,2037
2021-07-17,0,5,0,22,0,66,0,177,1,405,1,843,3,1500,3,2848,0,5,1,438,2,1918,4,1467,1,2038
2021-07-18,0,5,0,22,0,66,1,178,0,405,0,843,2,1502,1,2849,0,5,1,439,2,1920,0,1467,1,2039
2021-07-19,0,5,0,22,0,66,0,178,0,405,0,843,2,1504,5,2854,0,5,0,439,0,1920,3,1470,4,2043
2021-07-20,0,5,0,22,0,66,1,179,1,406,0,843,1,1505,4,2858,0,5,1,440,2,1922,1,1471,3,2046
2021-07-21,0,5,0,22,0,66,0,179,1,407,3,846,0,1505,5,2863,0,5,0,440,4,1926,2,1473,3,2049
2021-07-22,0,5,0,22,0,66,0,179,1,408,0,846,3,1508,4,2867,0,5,1,441,0,1926,3,1476,4,2053
2021-07-23,0,5,0,22,0,66,0,179,1,409,0,846,3,1511,2,2869,0,5,0,441,4,1930,1,1477,1,2054
2021-07-24,0,5,0,22,1,67,2,181,1,410,2,848,2,1513,0,2869,0,5,4,445,4,1934,0,1477,0,2054
2021-07-25,0,5,0,22,0,67,0,181,0,410,1,849,0,1513,3,2872,0,5,0,445,1,1935,1,1478,2,2056
2021-07-26,0,5,0,22,0,67,0,181,0,410,0,849,1,1514,4,2876,0,5,0,445,1,1936,1,1479,3,2059
2021-07-27,0,5,0,22,0,67,0,181,1,411,1,850,0,1514,3,2879,0,5,1,446,1,1937,0,1479,3,2062
2021-07-28,0,5,0,22,0,67,1,182,1,412,2,852,3,1517,2,2881,0,5,2,448,4,1941,1,1480,2,2064
2021-07-29,0,5,0,22,1,68,0,182,0,412,1,853,1,1518,0,2881,0,5,1,449,2,1943,0,1480,0,2064
2021-07-30,0,5,0,22,0,68,1,183,1,413,0,853,2,1520,3,2884,0,5,1,450,2,1945,1,1481,3,2067
2021-07-31,0,5,0,22,0,68,0,183,1,414,3,856,0,1520,2,2886,0,5,0,450,4,1949,0,1481,2,2069
2021-08-01,0,5,1,23,0,68,0,183,0,414,0,856,1,1521,0,2886,0,5,1,451,0,1949,1,1482,0,2069
2021-08-02,0,5,0,23,0,68,0,183,2,416,1,857,1,1522,2,2888,0,5,2,453,2,1951,0,1482,2,2071
2021-08-03,0,5,0,23,0,68,0,183,0,416,0,857,2,1524,2,2890,0,5,0,453,0,1951,2,1484,2,2073
2021-08-04,0,5,0,23,0,68,0,183,0,416,0,857,1,1525,2,2892,0,5,0,453,1,1952,1,1485,1,2074
2021-08-05,0,5,0,23,0,68,0,183,0,416,0,857,1,1526,2,2894,0,5,0,453,1,1953,2,1487,0,2074
2021-08-06,0,5,0,23,0,68,0,183,0,416,0,857,1,1527,3,2897,0,5,0,453,1,1954,2,1489,1,2075
2021-08-07,0,5,0,23,0,68,0,183,0,416,0,857,0,1527,0,2897,0,5,0,453,0,1954,0,1489,0,2075
2021-08-08,0,5,0,23,0,68,0,183,0,416,0,857,0,1527,0,2897,0,5,0,453,0,1954,0,1489,0,2075
2021-08-09,0,5,0,23,0,68,0,183,0,416,1,858,1,1528,1,2898,0,5,0,453,1,1955,1,1490,1,2076
2021-08-10,0,5,0,23,0,68,0,183,0,416,1,859,0,1528,0,2898,0,5,0,453,1,1956,0,1490,0,2076
2021-08-11,0,5,0,23,0,68,0,183,0,416,0,859,0,1528,0,2898,0,5,0,453,0,1956,0,1490,0,2076
2021-08-12,0,5,0,23,0,68,0,183,0,416,0,859,0,1528,1,2899,0,5,0,453,0,1956,0,1490,1,2077
2021-08-13,0,5,0,23,0,68,0,183,0,416,0,859,1,1529,1,2900,0,5,0,453,1,1957,0,1490,1,2078
2021-08-14,0,5,0,23,0,68,0,183,0,416,0,859,3,1532,0,2900,0,5,0,453,2,1959,1,1491,0,2078
2021-08-15,0,5,0,23,0,68,0,183,1,417,0,859,0,1532,1,2901,0,5,0,453,1,1960,0,1491,1,2079
2021-08-16,0,5,0,23,0,68,0,183,0,417,0,859,1,1533,0,2901,0,5,0,453,1,1961,0,1491,0,2079
2021-08-17,0,5,0,23,0,68,2,185,0,417,0,859,0,1533,1,2902,0,5,2,455,0,1961,1,1492,0,2079
2021-08-18,0,5,0,23,0,68,0,185,0,417,1,860,2,1535,2,2904,0,5,0,455,3,1964,1,1493,1,2080
2021-08-19,0,5,0,23,0,68,0,185,0,417,0,860,1,1536,0,2904,0,5,0,455,1,1965,0,1493,0,2080
2021-08-20,0,5,0,23,0,68,0,185,0,417,1,861,1,1537,0,2904,0,5,0,455,2,1967,0,1493,0,2080
2021-08-21,0,5,0,23,0,68,0,185,0,417,0,861,1,1538,0,2904,0,5,0,455,1,1968,0,1493,0,2080
2021-08-22,0,5,0,23,0,68,0,185,0,417,0,861,0,1538,0,2904,0,5,0,455,0,1968,0,1493,0,2080
2021-08-23,0,5,0,23,0,68,0,185,0,417,0,861,0,1538,0,2904,0,5,0,455,0,1968,0,1493,0,2080
2021-08-24,0,5,0,23,0,68,0,185,0,417,2,863,2,1540,1,2905,0,5,0,455,3,1971,2,1495,0,2080
2021-08-25,0,5,0,23,0,68,0,185,0,417,0,863,0,1540,2,2907,0,5,0,455,0,1971,1,1496,1,2081
2021-08-26,0,5,0,23,0,68,0,185,0,417,0,863,2,1542,1,2908,0,5,0,455,1,1972,1,1497,1,2082
2021-08-27,0,5,0,23,0,68,0,185,1,418,0,863,0,1542,0,2908,0,5,1,456,0,1972,0,1497,0,2082
2021-08-28,0,5,0,23,0,68,0,185,0,418,0,863,0,1542,1,2909,0,5,0,456,0,1972,1,1498,0,2082
2021-08-29,0,5,0,23,0,68,0,185,0,418,0,863,0,1542,2,2911,0,5,0,456,0,1972,0,1498,2,2084
2021-08-30,0,5,0,23,0,68,0,185,0,418,0,863,0,1542,0,2911,0,5,0,456,0,1972,0,1498,0,2084
2021-08-31,0,5,0,23,0,68,0,185,0,418,0,863,2,1544,1,2912,0,5,0,456,1,1973,2,1500,0,2084
2021-09-01,0,5,0,23,0,68,0,185,0,418,0,863,1,1545,1,2913,0,5,0,456,1,1974,0,1500,1,2085
2021-09-02,0,5,0,23,0,68,0,185,0,418,0,863,0,1545,0,2913,0,5,0,456,0,1974,0,1500,0,2085
2021-09-03,0,5,0,23,0,68,0,185,0,418,0,863,0,1545,0,2913,0,5,0,456,0,1974,0,1500,0,2085
2021-09-04,0,5,0,23,0,68,0,185,0,418,0,863,0,1545,0,2913,0,5,0,456,0,1974,0,1500,0,2085
2021-09-05,0,5,0,23,0,68,0,185,0,418,0,863,0,1545,0,2913,0,5,0,456,0,1974,0,1500,0,2085
2021-09-06,0,5,0,23,0,68,0,185,0,418,0,863,0,1545,0,2913,0,5,0,456,0,1974,0,1500,0,2085
2021-09-07,0,5,0,23,0,68,1,186,1,419,0,863,0,1545,1,2914,0,5,1,457,1,1975,0,1500,1,2086
2021-09-08,0,5,0,23,0,68,0,186,0,419,0,863,0,1545,0,2914,0,5,0,457,0,1975,0,1500,0,2086
2021-09-09,0,5,0,23,0,68,0,186,0,419,0,863,0,1545,0,2914,0,5,0,457,0,1975,0,1500,0,2086
2021-09-10,0,5,0,23,0,68,0,186,0,419,0,863,0,1545,0,2914,0,5,0,457,0,1975,0,1500,0,2086
2021-09-11,0,5,0,23,0,68,0,186,0,419,1,864,0,1545,1,2915,0,5,0,457,1,1976,0,1500,1,2087
2021-09-12,0,5,0,23,0,68,0,186,0,419,0,864,0,1545,0,2915,0,5,0,457,0,1976,0,1500,0,2087
2021-09-13,0,5,0,23,0,68,0,186,0,419,0,864,0,1545,1,2916,0,5,0,457,0,1976,0,1500,1,2088
